site_no,Year,UNIT_NAME
USGS-425134106064401,2001,Alluvium and Colluvium
USGS-425137106180401,2001,Alluvium and Colluvium
USGS-425140108430901,2001,Alluvium and Colluvium
USGS-425154106155101,2001,Alluvium and Colluvium
USGS-425158108433801,2001,Alluvium and Colluvium
USGS-425218113435901,2001,Basalt (Pleistocene and Pliocene).
USGS-425243114431701,2001,Basalt (Pleistocene and Pliocene).
USGS-425253108434501,2001,Alluvium and Colluvium
USGS-425313108440701,2001,Alluvium and Colluvium
USGS-425341071565001,2001,Kinsman Granodiorite
USGS-425341093132501,2001,Lime Creek Formation
USGS-425344095090401,2001,Dakata and Windrow Formations
USGS-425352088240101,2001,"Silurian, undivided"
USGS-425355092475801,2001,Cedar Valley Group
USGS-425400106272101,2001,Cody Shale
USGS-425533093364001,2001,Kinderhookian formations
USGS-425536088180901,2001,Maquoketa Formation
USGS-425610114241502,2001,Alluvial deposits.
USGS-425656088124401,2001,"Silurian, undivided"
USGS-425717091382602,2001,Galena Group and Platteville Formation
USGS-425731094270801,2001,Dakata and Windrow Formations
USGS-425755088210901,2001,"Silurian, undivided"
USGS-425816088231401,2001,"Silurian, undivided"
USGS-430015093360501,2001,Lime Creek Formation
USGS-430015093360502,2001,Lime Creek Formation
USGS-430017096285301,2001,Fort Benton Group
USGS-430050113561001,2001,Basalt (Pleistocene and Pliocene).
USGS-430407088075901,2001,"Silurian, undivided"
USGS-430647076552901,2001,Vernon Formation
USGS-430850071290301,2001,Lower part of Rangeley Formation
USGS-430918113371401,2001,Basalt (Pleistocene and Pliocene).
USGS-430923088141601,2001,"Silurian, undivided"
USGS-431157095502901,2001,Fort Benton Group
USGS-431556093375401,2001,Cedar Valley Group
USGS-431638091282902,2001,Galena Group and Platteville Formation
USGS-431650071492201,2001,Madrid Formation
USGS-431654092484501,2001,Cedar Valley Group
USGS-431814110453001,2001,Alluvium and Colluvium
USGS-431828091473201,2001,Prairie Du Chien Group and St. Peter Sandstone
USGS-432132071274801,2001,Lower part of Rangeley Formation
USGS-432150092332401,2001,Cedar Valley Group
USGS-432241092550802,2001,Cedar Valley Group
USGS-432342112072301,2001,Alluvial deposits.
USGS-432349094285201,2001,Dakata and Windrow Formations
USGS-432447110483901,2001,Alluvium and Colluvium
USGS-432541110465401,2001,Alluvium and Colluvium
USGS-432608096201503,2001,Fort Benton Group
USGS-432650092170401,2001,Wapsipinicon Group
USGS-432708070465901,2001,Devonian - Silurian Rindgemere Formation lower member
USGS-432752110493201,2001,Alluvium and Colluvium
USGS-432816110521601,2001,Alluvium and Colluvium
USGS-432849110454901,2001,Alluvium and Colluvium
USGS-433057106383701,2001,Cody Shale
USGS-433114110502401,2001,Alluvium and Colluvium
USGS-433155116294401,2001,Basalt (Pleistocene and Pliocene).
USGS-433248110492001,2001,"Gravel, pediment, and fan deposits"
USGS-433250071023901,2001,"Rangeley Formation, Ribbon-banded calc-silicate of eastern New Hampshire"
USGS-433338110455801,2001,"Gravel, pediment, and fan deposits"
USGS-433716110445201,2001,"Gravel, pediment, and fan deposits"
USGS-433836106483101,2001,Alluvium and Colluvium
USGS-433930116141901,2001,Sediments and sedimentary rocks (Pleistocene and Pliocene).
USGS-434143106250901,2001,Fort Union Formation - Lebo Member
USGS-434935116571401,2001,Lake Bonneville deposits.
USGS-434942110242101,2001,Alluvium and Colluvium
USGS-435010070142701,2001,"Carboniferous alkali feldspar granite (muscovite accessory, abundant sedimentary inclusions)"
USGS-435241116585302,2001,Alluvial deposits.
USGS-440301096345801,2001,Pierre Shale
USGS-440318071082701,2001,Conway Granite
USGS-440431106373001,2001,"Gravel, pediment, and fan deposits"
USGS-440608110400601,2001,"Gravel, pediment, and fan deposits"
USGS-441137070312501,2001,"Carboniferous alkali feldspar granite (muscovite accessory, abundant sedimentary inclusions)"
USGS-441148106461601,2001,"Gravel, pediment, and fan deposits"
USGS-442059106423201,2001,"Gravel, pediment, and fan deposits"
USGS-442423104223501,2001,Spearfish Formation
USGS-442555106084201,2001,Wasatch Formation
USGS-442618106350801,2001,Alluvium and Colluvium
USGS-442724104441301,2001,Alluvium and Colluvium
USGS-442931106473401,2001,Alluvium and Colluvium
USGS-443021071092501,2001,Biotite granite
USGS-443117106460601,2001,Alluvium and Colluvium
USGS-443241104052301,2001,Alluvium and Colluvium
USGS-443426108593501,2001,"Gravel, pediment, and fan deposits"
USGS-443528104111001,2001,Spearfish Formation
USGS-443903104045701,2001,Alluvium and Colluvium
USGS-443936092514401,2001,Lower Ordovician
USGS-443943106594001,2001,Alluvium and Colluvium
USGS-444012106593201,2001,Alluvium and Colluvium
USGS-444047106590901,2001,Alluvium and Colluvium
USGS-444052104360401,2001,Alluvium and Colluvium
USGS-444225106580701,2001,Alluvium and Colluvium
USGS-444240106581401,2001,Alluvium and Colluvium
USGS-444249106572301,2001,Alluvium and Colluvium
USGS-444317106572601,2001,Alluvium and Colluvium
USGS-444326108424501,2001,"Gravel, pediment, and fan deposits"
USGS-444333106571001,2001,Alluvium and Colluvium
USGS-444417108381001,2001,Alluvium and Colluvium
USGS-444536107052201,2001,Alluvium and Colluvium
USGS-444554107043101,2001,Alluvium and Colluvium
USGS-444840104273801,2001,Alluvium and Colluvium
USGS-445755104220001,2001,Alluvium and Colluvium
USGS-445800104470001,2001,Alluvium and Colluvium
USGS-450210109030601,2001,Tongue River Member of Fort Union Formation 
USGS-450232069525101,2001,Devonian - Silurian Madrid Formation
USGS-450326093175201,2001,Middle and Upper Ordovician
USGS-450430093220801,2001,Middle and Upper Ordovician
USGS-450448093205301,2001,Middle and Upper Ordovician
USGS-450658109010401,2001,Tongue River Member of Fort Union Formation 
USGS-450845109163701,2001,Linley Member of Fort Union Formation 
USGS-450925109180001,2001,Alluvium 
USGS-450935109161701,2001,Alluvium 
USGS-450943109161701,2001,Alluvium 
USGS-450949109164601,2001,Gravel 
USGS-450949109172301,2001,Gravel 
USGS-450952109162901,2001,Gravel 
USGS-450958109162801,2001,Gravel 
USGS-451104093212801,2001,Upper Cambrian
USGS-451510109134801,2001,Gravel 
USGS-451608109223001,2001,Tongue River Member of Fort Union Formation 
USGS-455521114074801,2001,Gravel 
USGS-460110114110901,2001,Upper Tertiary sediment or sedimentary rock 
USGS-461055114112601,2001,Upper Tertiary sediment or sedimentary rock 
USGS-461320114121501,2001,Gravel 
USGS-461451114090801,2001,Gravel 
USGS-461638114023401,2001,Upper Tertiary sediment or sedimentary rock 
USGS-461807114123001,2001,Gravel 
USGS-461823114050901,2001,Gravel 
USGS-462141119130501,2001,Younger glacial drift
USGS-462228114030301,2001,Upper Tertiary sediment or sedimentary rock 
USGS-462256114114501,2001,Gravel 
USGS-462545114034301,2001,Middle Tertiary sediment or sedimentary rock 
USGS-462616114094301,2001,Middle Tertiary sediment or sedimentary rock 
USGS-462754113592701,2001,Upper Tertiary sediment or sedimentary rock 
USGS-462818114074101,2001,Gravel 
USGS-462859113574401,2001,Gravel 
USGS-462948114060101,2001,Gravel 
USGS-463122114074701,2001,Gravel 
USGS-463335114011701,2001,Gravel 
USGS-463745119164601,2001,Quaternary nonmarine deposits
USGS-463827114001201,2001,Gravel 
USGS-463932114035901,2001,Alluvium 
USGS-464819119091001,2001,Younger glacial drift
USGS-464951114023701,2001,Gravel 
USGS-465127114055401,2001,Alluvium 
USGS-465323114054301,2001,Gravel 
USGS-465440114022101,2001,Gravel 
USGS-465741114110601,2001,Gravel 
USGS-465838114074501,2001,Gravel 
USGS-470035122444601,2001,Younger glacial drift
USGS-470110122484201,2001,Younger glacial drift
USGS-470112114144001,2001,Alluvium 
USGS-470240122214501,2001,Younger glacial drift
USGS-470328114164301,2001,Sediment or sedimentary rock
USGS-470502114265301,2001,Alluvium 
USGS-470719114301401,2001,Alluvium 
USGS-470732122252801,2001,Younger glacial drift
USGS-470850119323501,2001,Younger glacial drift
USGS-471013119433401,2001,Younger glacial drift
USGS-471018122143302,2001,Older glacial drift
USGS-471546094331700,2001,Calc-alkalic volcanic and volcaniclastic rocks
USGS-472533094284500,2001,Granitic intrusion
USGS-475308098424801,2001,Pierre Formation
MN040-443119093050101,2002,Lower Ordovician
MN040-445117093042701,2002,Middle and Upper Ordovician
MN048-442839093085901,2002,Lower Ordovician
MN048-442849093085401,2002,Lower Ordovician
MN048-443122093050101,2002,Lower Ordovician
MN048-443129092592701,2002,Lower Ordovician
MN048-443143092592701,2002,Lower Ordovician
MN048-443227093144101,2002,Lower Ordovician
MN048-443358093073601,2002,Middle and Upper Ordovician
MN048-443404093074201,2002,Middle and Upper Ordovician
MN048-443453092521201,2002,Lower Ordovician
MN048-443511092515901,2002,Middle and Upper Ordovician
MN048-443515092595501,2002,Middle and Upper Ordovician
MN048-443517093001101,2002,Middle and Upper Ordovician
MN048-443559093144901,2002,Middle and Upper Ordovician
MN048-443608093145201,2002,Middle and Upper Ordovician
MN048-443722093152901,2002,Lower Ordovician
MN048-443731093063701,2002,Lower Ordovician
MN048-443733093062901,2002,Lower Ordovician
MN048-443752093025701,2002,Lower Ordovician
MN048-443805093040901,2002,Lower Ordovician
MN048-443933092513901,2002,Lower Ordovician
MN048-444118092531201,2002,Lower Ordovician
MN048-444118092532701,2002,Lower Ordovician
MN048-444250092481801,2002,Lower Ordovician
MN048-444304093015601,2002,Middle and Upper Ordovician
MN048-444307092484601,2002,Lower Ordovician
MN048-444308092580801,2002,Lower Ordovician
MN048-444308093020201,2002,Lower Ordovician
MN048-444315092581701,2002,Lower Ordovician
MN048-444509093033001,2002,Middle and Upper Ordovician
MN048-444517093044501,2002,Middle and Upper Ordovician
MN048-444600093050901,2002,Lower Ordovician
MN048-444603093090901,2002,Middle and Upper Ordovician
MN048-444610093051101,2002,Lower Ordovician
MN048-444612093090201,2002,Middle and Upper Ordovician
MN048-444900093032301,2002,Lower Ordovician
MN048-444908093032701,2002,Lower Ordovician
MN048-445005093045801,2002,Middle and Upper Ordovician
MN048-445145093060201,2002,Lower Ordovician
MN048-445156093055901,2002,Lower Ordovician
USEPA-414216086001701,2002,Ellsworth Shale
USEPA-414217086002301,2002,Ellsworth Shale
USGS-280128081392201,2002,Reworked Cypresshead sediments
USGS-280141081304901,2002,Dunes
USGS-280215082280001,2002,"Hawthorn Group, Arcadia Formation, Tampa Member"
USGS-280235082313502,2002,Undifferentiated sediments
USGS-280305082300502,2002,Undifferentiated sediments
USGS-280310082291002,2002,Undifferentiated sediments
USGS-280341082325702,2002,Undifferentiated sediments
USGS-280359082332701,2002,Undifferentiated sediments
USGS-280437082303002,2002,Undifferentiated sediments
USGS-280445082154601,2002,Undifferentiated sediments
USGS-280451082351102,2002,Undifferentiated sediments
USGS-280500082313502,2002,Undifferentiated sediments
USGS-280550082312202,2002,Undifferentiated sediments
USGS-280605082302601,2002,Undifferentiated sediments
USGS-280614082314902,2002,Undifferentiated sediments
USGS-280614082325701,2002,Undifferentiated sediments
USGS-280618082351301,2002,Undifferentiated sediments
USGS-280641082341901,2002,Undifferentiated sediments
USGS-280647082181701,2002,"Hawthorn Group, Arcadia Formation, Tampa Member"
USGS-280649082301201,2002,Undifferentiated sediments
USGS-280708082301001,2002,Undifferentiated sediments
USGS-280721082303701,2002,Undifferentiated sediments
USGS-280733082210301,2002,Undifferentiated sediments
USGS-280734082315402,2002,Undifferentiated sediments
USGS-280746082335601,2002,Undifferentiated sediments
USGS-280747082333001,2002,Undifferentiated sediments
USGS-280751082312801,2002,Undifferentiated sediments
USGS-280751082312802,2002,Undifferentiated sediments
USGS-280802081393701,2002,Reworked Cypresshead sediments
USGS-280802082275701,2002,Undifferentiated sediments
USGS-280823082135501,2002,Suwannee Limestone
USGS-280846082134401,2002,Suwannee Limestone
USGS-280848082131001,2002,Suwannee Limestone
USGS-280905082293702,2002,Undifferentiated sediments
USGS-280918082391201,2002,Undifferentiated sediments
USGS-280928082315202,2002,Undifferentiated sediments
USGS-280936081150601,2002,Undifferentiated sediments
USGS-280955081595501,2002,Cypresshead Formation
USGS-281012082220402,2002,Undifferentiated sediments
USGS-281016082275602,2002,Undifferentiated sediments
USGS-281023082393301,2002,Undifferentiated sediments
USGS-281102082344401,2002,Undifferentiated sediments
USGS-281102082344402,2002,Undifferentiated sediments
USGS-281124082275201,2002,Undifferentiated sediments
USGS-281135082255701,2002,Undifferentiated sediments
USGS-281152082255701,2002,Undifferentiated sediments
USGS-281330082435401,2002,Suwannee Limestone
USGS-281525082055601,2002,Suwannee Limestone
USGS-281712082233901,2002,"Hawthorn Group, Arcadia Formation, Tampa Member"
USGS-282133082275301,2002,Undifferentiated sediments
USGS-282147082113001,2002,"Hawthorn Group, Undifferentiated"
USGS-282310082281901,2002,Undifferentiated sediments
USGS-282352082263901,2002,"Hawthorn Group, Undifferentiated"
USGS-282523082330101,2002,Beach ridge and dune
USGS-282941082330801,2002,Undifferentiated sediments
USGS-283200082134801,2002,Undifferentiated sediments
USGS-283233081305001,2002,Cypresshead Formation
USGS-283436082021201,2002,Ocala Limestone
USGS-283715081421801,2002,Cypresshead Formation
USGS-283923081273801,2002,Cypresshead Formation
USGS-284345082045101,2002,Beach ridge and dune
USGS-284710082283701,2002,Undifferentiated sediments
USGS-285155082012401,2002,Undifferentiated sediments
USGS-285158081101201,2002,Cypresshead Formation
USGS-285719081163901,2002,Cypresshead Formation
USGS-285825081382801,2002,Cypresshead Formation
USGS-285859082065801,2002,Ocala Limestone
USGS-290349082211301,2002,Ocala Limestone
USGS-290450082081201,2002,Ocala Limestone
USGS-290638081172801,2002,Cypresshead Formation
USGS-290708082375601,2002,Avon Park Formation
USGS-291051081253301,2002,Cypresshead Formation
USGS-291530082085101,2002,Ocala Limestone
USGS-291943081462301,2002,Cypresshead Formation
USGS-292310100011401,2002,McKnight Formation
USGS-292417082222601,2002,"Hawthorn Group, Coosawhatchie Formation"
USGS-292612083020201,2002,Ocala Limestone
USGS-292628099401401,2002,Devils River Limestone
USGS-292656099000701,2002,"Buda Limestone and Del Rio Clay, undivided"
USGS-292745082531601,2002,Ocala Limestone
USGS-292853099084901,2002,"Buda Limestone and Del Rio Clay, undivided"
USGS-292856081383301,2002,Cypresshead Formation
USGS-293048082141501,2002,"Hawthorn Group, Coosawhatchie Formation"
USGS-293404098382001,2002,"Buda Limestone and Del Rio Clay, undivided"
USGS-293415082522101,2002,Ocala Limestone
USGS-293430081522501,2002,Undifferentiated sediments
USGS-293436098343001,2002,Edwards Limestone
USGS-293516098325501,2002,Edwards Limestone
USGS-293535098304101,2002,Edwards Limestone
USGS-293551098244801,2002,"Buda Limestone and Del Rio Clay, undivided"
USGS-293643098264001,2002,Edwards Limestone
USGS-294101095431501,2002,"Beaumont Formation, areas predominantly clay"
USGS-294231083010401,2002,Ocala Limestone
USGS-294329083205001,2002,Ocala Limestone
USGS-294345094364501,2002,"Beaumont Formation, areas predominantly clay"
USGS-294442082313501,2002,Ocala Limestone
USGS-294606095383901,2002,"Beaumont Formation, areas predominantly clay"
USGS-294720094351501,2002,"Beaumont Formation, areas predominantly clay"
USGS-294817082221101,2002,"Hawthorn Group, Coosawhatchie Formation"
USGS-294825082536001,2002,Ocala Limestone
USGS-294900095400001,2002,water
USGS-294957094380801,2002,"Beaumont Formation, areas predominantly sand"
USGS-295015094440701,2002,Deweyville Formation with higher level?
USGS-295045094483801,2002,"Beaumont Formation, areas predominantly sand"
USGS-295046095492901,2002,Lissie Formation
USGS-295352098071201,2002,Edwards Limestone
USGS-295630094500001,2002,"Beaumont Formation, areas predominantly sand"
USGS-295711082304301,2002,"Hawthorn Group, Coosawhatchie Formation"
USGS-295805082484301,2002,Ocala Limestone
USGS-295950094573101,2002,"Beaumont Formation, areas predominantly clay"
USGS-300029083020901,2002,Ocala Limestone
USGS-300100095052601,2002,"Beaumont Formation, areas predominantly sand"
USGS-300211083340001,2002,Suwannee Limestone
USGS-300214094535401,2002,"Beaumont Formation, areas predominantly sand"
USGS-300239095431101,2002,Lissie Formation
USGS-300246094551001,2002,"Beaumont Formation, areas predominantly sand"
USGS-300312094414201,2002,"Beaumont Formation, areas predominantly sand"
USGS-300453097503301,2002,Onion Creek Marl
USGS-300503095260001,2002,Lissie Formation
USGS-300519095242601,2002,Lissie Formation
USGS-300531095295901,2002,Lissie Formation
USGS-300646097533202,2002,Edwards Limestone
USGS-300714095493401,2002,Willis Formation
USGS-300751082473701,2002,Undifferentiated sediments
USGS-300811083341301,2002,Suwannee Limestone
USGS-300813097512101,2002,Onion Creek Marl
USGS-300824091593201,2002,Prairie Terraces
USGS-300903084085101,2002,St. Marks Formation
USGS-300916092051901,2002,Prairie Terraces
USGS-300932092003701,2002,Prairie Terraces
USGS-300946091591601,2002,Prairie Terraces
USGS-300954094561001,2002,"Beaumont Formation, areas predominantly sand"
USGS-301014092000102,2002,Prairie Terraces
USGS-301015092015001,2002,Prairie Terraces
USGS-301031097515801,2002,Edwards Limestone
USGS-301035092055801,2002,Prairie Terraces
USGS-301038083344101,2002,Undifferentiated sediments
USGS-301058092015001,2002,Prairie Terraces
USGS-301100092005801,2002,Prairie Terraces
USGS-301142097504701,2002,"Del Rio Clay and Georgetown Limestone, undivided"
USGS-301146083063901,2002,Undifferentiated sediments
USGS-301147092040701,2002,Prairie Terraces
USGS-301148092024101,2002,Prairie Terraces
USGS-301213092053501,2002,Prairie Terraces
USGS-301222084162001,2002,St. Marks Formation
USGS-301226097480701,2002,Austin Chalk
USGS-301332091593001,2002,Prairie Terraces
USGS-301339097483701,2002,"Eagle Ford Formation and Buda Limestone, undivided"
USGS-301355092005601,2002,Prairie Terraces
USGS-301356097473301,2002,High gravel deposits
USGS-301421092022901,2002,Prairie Terraces
USGS-301423097495901,2002,Edwards Limestone
USGS-301425091593901,2002,Prairie Terraces
USGS-301432097480001,2002,Edwards Limestone
USGS-301526097463201,2002,"Del Rio Clay and Georgetown Limestone, undivided"
USGS-301704083391501,2002,Undifferentiated sediments
USGS-301845084164601,2002,St. Marks Formation
USGS-301907092003401,2002,Prairie Terraces
USGS-302314082565601,2002,"Hawthorn Group, Statenville Formation"
USGS-302528084101201,2002,"Hawthorn Group, Torreya Formation"
USGS-302831083385201,2002,"Hawthorn Group, Torreya Formation"
USGS-302927083183401,2002,"Hawthorn Group, Torreya Formation"
USGS-302930094571501,2002,Deweyville Formation with higher level?
USGS-303000095002001,2002,Lissie Formation
USGS-303359084023101,2002,Miccosukee Formation
USGS-303534094501001,2002,Willis Formation
USGS-303609094464001,2002,Willis Formation
USGS-303638083394201,2002,Miccosukee Formation
USGS-303740095061001,2002,Fleming Formation
USGS-303826095082401,2002,Fleming Formation
USGS-304200094492801,2002,Willis Formation
USGS-304207095103001,2002,Fleming Formation
USGS-304346085211701,2002,Residuum on Miocene sediments
USGS-304350095055701,2002,"Beaumont Formation, areas predominantly sand"
USGS-304421084561201,2002,Citronelle Formation
USGS-304431083224101,2002,Miccosukee Formation
USGS-304531083382101,2002,Hawthorn Formation
USGS-304758084551301,2002,Stream alluvium
USGS-305133084461201,2002,Ocala Limestone
USGS-305148084364801,2002,Ocala Limestone
USGS-305356084534601,2002,Ocala Limestone
USGS-305641084542001,2002,Ocala Limestone
USGS-305705084484201,2002,Ocala Limestone
USGS-305853085135401,2002,Ocala Limestone
USGS-305940085243301,2002,Alum Bluff Group
USGS-310110084383501,2002,Ocala Limestone
USGS-310132085024001,2002,Claiborne/Jackson Group; Residuum
USGS-310153085225901,2002,Claiborne/Jackson Group; Residuum
USGS-310427084591101,2002,Ocala Limestone
USGS-310552084435601,2002,Ocala Limestone
USGS-310645084241401,2002,Ocala Limestone
USGS-310752085271301,2002,Claiborne/Jackson Group; Residuum
USGS-310804084455501,2002,Ocala Limestone
USGS-310900084580301,2002,Ocala Limestone
USGS-310913084195301,2002,Ocala Limestone
USGS-311015083321401,2002,Miccosukee Formation
USGS-311015083321402,2002,Miccosukee Formation
USGS-311015084511901,2002,Ocala Limestone
USGS-311141084513401,2002,Ocala Limestone
USGS-311327084484101,2002,Ocala Limestone
USGS-311348084282401,2002,Ocala Limestone
USGS-311505085140101,2002,Claiborne/Jackson Group; Residuum
USGS-311714084275101,2002,Ocala Limestone
USGS-311802084192302,2002,Ocala Limestone
USGS-311912084282901,2002,Ocala Limestone
USGS-312003083314401,2002,Hawthorn Formation
USGS-312021083350101,2002,Miccosukee Formation
USGS-312025083401101,2002,Miccosukee Formation
USGS-312119084215601,2002,Ocala Limestone
USGS-312127083374701,2002,Miccosukee Formation
USGS-312232084391701,2002,Ocala Limestone
USGS-312346084520401,2002,Ocala Limestone
USGS-312356083462001,2002,Neogene undifferentiated
USGS-312505083382001,2002,Miccosukee Formation
USGS-312623083352401,2002,Neogene undifferentiated
USGS-312641084102401,2002,Ocala Limestone
USGS-312703083263601,2002,Neogene undifferentiated
USGS-312758083232401,2002,Neogene undifferentiated
USGS-312853084275101,2002,Ocala Limestone
USGS-312908084151901,2002,Ocala Limestone
USGS-313105084064302,2002,Ocala Limestone
USGS-313116083342601,2002,Neogene undifferentiated
USGS-313122083110901,2002,Neogene undifferentiated
USGS-313122083325101,2002,Neogene undifferentiated
USGS-313144083335501,2002,Neogene undifferentiated
USGS-313144083472401,2002,Neogene undifferentiated
USGS-313209083464801,2002,Neogene undifferentiated
USGS-313238083331901,2002,Neogene undifferentiated
USGS-313415084475201,2002,"Eocene and Oligocene Residuum, undifferentiated"
USGS-313440084181403,2002,Ocala Limestone
USGS-313502083554801,2002,Neogene undifferentiated
USGS-313630083385001,2002,Neogene undifferentiated
USGS-313808084093601,2002,Ocala Limestone
USGS-313822083311901,2002,Neogene undifferentiated
USGS-313841083155401,2002,Neogene undifferentiated
USGS-313950083425401,2002,Neogene undifferentiated
USGS-314030084060001,2002,Ocala Limestone
USGS-314040084110201,2002,Ocala Limestone
USGS-314115083351301,2002,Neogene undifferentiated
USGS-314123083391301,2002,Neogene undifferentiated
USGS-314315083224601,2002,Neogene undifferentiated
USGS-314357084380001,2002,"Eocene and Oligocene Residuum, undifferentiated"
USGS-314421083281601,2002,Neogene undifferentiated
USGS-314847083360301,2002,Neogene undifferentiated
USGS-314852083542001,2002,Ocala Limestone
USGS-314858084194901,2002,"Eocene and Oligocene Residuum, undifferentiated"
USGS-315009083571001,2002,Ocala Limestone
USGS-315043083401901,2002,Neogene undifferentiated
USGS-315059083350901,2002,Neogene undifferentiated
USGS-320001084032801,2002,"Eocene and Oligocene Residuum, undifferentiated"
USGS-320011084121501,2002,"Eocene and Oligocene Residuum, undifferentiated"
USGS-320051084061401,2002,"Eocene and Oligocene Residuum, undifferentiated"
USGS-322132086273201,2002,"Alluvial, coastal and low terrace deposits"
USGS-322237086112101,2002,"Alluvial, coastal and low terrace deposits"
USGS-322239086084501,2002,"Alluvial, coastal and low terrace deposits"
USGS-322240086080801,2002,"Alluvial, coastal and low terrace deposits"
USGS-322242086125701,2002,"Alluvial, coastal and low terrace deposits"
USGS-322343086143901,2002,"Alluvial, coastal and low terrace deposits"
USGS-323051080445601,2002,Chenier plain and deltas of Suwannee & Chattahoochie Rivers
USGS-323601107010001,2002,Alluvium
USGS-323930107041401,2002,Alluvium
USGS-323936117050801,2002,Pliocene marine rocks
USGS-324115117052901,2002,Older Quaternary alluvium and marine deposits
USGS-324122107120801,2002,Alluvium
USGS-324228080083601,2002,Chenier plain and deltas of Suwannee & Chattahoochie Rivers
USGS-324510107162601,2002,Alluvium
USGS-325123107175701,2002,Alluvium
USGS-325438090521601,2002,Alluvium
USGS-325543080311201,2002,Swamp
USGS-330124080023201,2002,Penholoway Formation
USGS-330640091154103,2002,Terrace deposits
USGS-332011080572401,2002,Duplin Formation
USGS-333228090050201,2002,Alluvium
USGS-333228090050202,2002,Alluvium
USGS-335028101365001,2002,Blackwater Draw Formation
USGS-335028101365002,2002,Blackwater Draw Formation
USGS-335028101365003,2002,Blackwater Draw Formation
USGS-335028101365004,2002,Blackwater Draw Formation
USGS-342142077430701,2002,"Castle Hayne Formation; Comfort Member and New Hanover Member, undivided"
USGS-342302077534501,2002,Peedee Formation
USGS-342313102174401,2002,Blackwater Draw Formation
USGS-342313102174402,2002,Blackwater Draw Formation
USGS-342313102174403,2002,Blackwater Draw Formation
USGS-342313102174404,2002,Blackwater Draw Formation
USGS-342610077371401,2002,River Bend Formation
USGS-343308077484501,2002,Peedee Formation
USGS-343400077292201,2002,River Bend Formation
USGS-344139077211207,2002,"Belgrade Formation, Undivided"
USGS-344244077135801,2002,"Belgrade Formation, Undivided"
USGS-344614089264701,2002,Tallahatta formation and Neshoba sand
USGS-344737076354301,2002,"Surficial Deposits, Undivided"
USGS-344837076401701,2002,"Surficial Deposits, Undivided"
USGS-345011090474901,2002,Alluvium - Alluvial deposits of local streams or of overbank flow of major streams
USGS-345434076301501,2002,"Surficial Deposits, Undivided"
USGS-345516077190001,2002,River Bend Formation
USGS-345630077163501,2002,River Bend Formation
USGS-345809077301401,2002,"Castle Hayne Formation; Comfort Member and New Hanover Member, undivided"
USGS-350012077131101,2002,"Belgrade Formation, Undivided"
USGS-350229089525601,2002,Loess
USGS-350424089593901,2002,Loess
USGS-350816077101805,2002,River Bend Formation
USGS-350857089591401,2002,Loess
USGS-351019077184102,2002,Castle Hayne Formation; Spring Garden Member
USGS-351147089482701,2002,Loess
USGS-351201089525501,2002,Loess
USGS-351403089552601,2002,Loess
USGS-351415119052201,2002,Quaternary alluvium and marine deposits
USGS-351655118594301,2002,Quaternary alluvium and marine deposits
USGS-352231090421501,2002,Loess
USGS-352233077091901,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-352258119034901,2002,Quaternary alluvium and marine deposits
USGS-352305077321701,2002,Peedee Formation
USGS-352548077012701,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-352702077302501,2002,Peedee Formation
USGS-352749119261501,2002,Quaternary alluvium and marine deposits
USGS-352905077594501,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-353037077502601,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-353050077333402,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-353111077334402,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-353119119062501,2002,Plio-Pleistocene and Pliocene loosely consolidated deposits
USGS-353148077332103,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-353219077153801,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-353221076105501,2002,"Surficial Deposits, Undivided"
USGS-353547076473301,2002,"Surficial Deposits, Undivided"
USGS-354726119112001,2002,Quaternary alluvium and marine deposits
USGS-354733077292802,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-354750076344501,2002,"Surficial Deposits, Undivided"
USGS-355135119104201,2002,Older Quaternary alluvium and marine deposits
USGS-355437089144301,2002,Loess
USGS-355601076352401,2002,"Surficial Deposits, Undivided"
USGS-355750119185101,2002,Quaternary alluvium and marine deposits
USGS-360302119202101,2002,Quaternary alluvium and marine deposits
USGS-360310119201901,2002,Quaternary alluvium and marine deposits
USGS-360633119114801,2002,Quaternary alluvium and marine deposits
USGS-360710119145301,2002,Quaternary alluvium and marine deposits
USGS-360719119205501,2002,Quaternary alluvium and marine deposits
USGS-360807119114901,2002,Quaternary alluvium and marine deposits
USGS-361003119212501,2002,Quaternary alluvium and marine deposits
USGS-361338119275501,2002,Quaternary alluvium and marine deposits
USGS-361341119280102,2002,Quaternary alluvium and marine deposits
USGS-361420077111407,2002,"Yorktown Formation and Duplin Formation, Undivided"
USGS-361422119431201,2002,Quaternary alluvium and marine deposits
USGS-361519119433401,2002,Quaternary alluvium and marine deposits
USGS-361702076330101,2002,"Surficial Deposits, Undivided"
USGS-361714076201301,2002,"Surficial Deposits, Undivided"
USGS-361717119234202,2002,Quaternary alluvium and marine deposits
USGS-361726119241101,2002,Quaternary alluvium and marine deposits
